Network,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
ujhermes,,,,,,,,,
alomhegy,,,,,,,,,
ohermes,,,,,,,,,
gloriette,,,,,,,,,
csillahegy,,,,,,,,,
ebergoc,,,,,,,,,
tozeggyarmajor,,,,,,,,,
fertoujlak,,,,,,,,,
meszlen,,,,,,,,,
gorbehalom,,,,,,,,,
kutyahegy,,,,,,,,,
nyarliget,,,,,,,,,
pusztacsalad,,,,,,,,,
rojtokmuzsaj,,,,,,,,,
und,,,,,,,,,
csapod,,,,,,,,,
balf,,,,,,,,,
nagylozs,,,,,,,,,
csaford,,,,,,,,,
acsad,,,,,,,,,
kofejto,,,,,,,,,
simasag,,,,,,,,,
ivan,,,,,,,,,
agyagosszergeny,,,,,,,,,
dudlesz,,,,,,,,,
sopronkovesd,,,,,,,,,
pozsonyiut,,,,,,,,,
harka,,,,,,,,,
kohegy,,,,,,,,,
szakov,,,,,,,,,
tomalom,,,,,,,,,
becsidomb,,,,,,,,,
varis_repaired,,,,,,,,,
vashegy,,,,,,,,,
nagycenk,,,,,,,,,
lovo,,,,,,,,,
buk_orig,,,,,,,,,
sanchegy,,,,,,,,,
ferto_orig,,,,,,,,,
villasor,,,,,,,,,
